"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss4-pr201","60","0","0","0","000001E1AB021F10:N/workspace_mode;000001E1D25E2F80:N/workspace_mode;000001E1D2614FF0:N/workspace_mode;000001E1D264F0F0:N/workspace_mode","2901","0","4","5","2995","0","2780","2718.2","0","4.2"
"present:ALL","3489","16470800","19370200","21152900","13707800","32794200","16712497","4682100","60.7","","","","","","","","","","","","","","","",""
"present:workspace","3489","16470800","19370200","21152900","13707800","32794200","16712497","4682100","60.7","","","","","","","","","","","","","","","",""
"frame:ALL","3248","68425600","84215300","91522100","27483400","106545000","69468130","23096500","14.6","","","","","","","","","","","","","","","",""
"frame:000001E1AB021F10","817","68582300","83454000","92202100","27483400","104314600","69341170","23619800","14.6","","","","","","","","","","","","","","","",""
"frame:000001E1D25E2F80","810","68752700","84736100","92025000","30008000","100090700","69814174","23272300","14.5","","","","","","","","","","","","","","","",""
"frame:000001E1D2614FF0","811","68398500","85311600","91504000","48963700","106098900","69505544","23105500","14.6","","","","","","","","","","","","","","","",""
"frame:000001E1D264F0F0","810","68091800","84065200","90888600","50439700","106545000","69212684","22796800","14.7","","","","","","","","","","","","","","","",""
